Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
65536,32,16,1,0,0.198194,2063211
65536,32,16,1,1,0.186977,2114651
65536,64,16,0,0,0.158118,1982851
65536,64,16,0,1,0.150255,2955351
65536,64,16,1,0,0.158118,1899871
65536,64,16,1,1,0.150255,1947871
65536,128,16,0,0,0.157985,1994251
65536,128,16,0,1,0.149008,2970131
65536,128,16,1,0,0.157985,1895671
65536,128,16,1,1,0.149008,1943431
65536,256,16,0,0,0.145118,1927171
65536,256,16,0,1,0.130832,2908531
65536,256,16,1,0,0.145118,1834671
65536,256,16,1,1,0.130832,1859071
65536,1,32,0,0,0.26804,2310071
65536,1,32,0,1,0.240345,3279871
65536,1,32,1,0,0.26804,2263071
65536,1,32,1,1,0.240345,2346831
65536,2,32,0,0,0.26804,2310071
65536,2,32,0,1,0.240345,3279871
65536,2,32,1,0,0.26804,2263071
65536,2,32,1,1,0.240345,2346831
65536,4,32,0,0,0.26804,2310071
65536,4,32,0,1,0.240345,3279871
65536,4,32,1,0,0.26804,2263071
65536,4,32,1,1,0.240345,2346831
65536,8,32,0,0,0.26804,2310071
65536,8,32,0,1,0.240345,3279871
65536,8,32,1,0,0.26804,2263071
65536,8,32,1,1,0.240345,2346831
65536,16,32,0,0,0.214053,2147191
65536,16,32,0,1,0.196826,3090991
65536,16,32,1,0,0.214053,2088691
65536,16,32,1,1,0.196826,2150671
65536,32,32,0,0,0.197772,2129131
65536,32,32,0,1,0.186569,3094451
65536,32,32,1,0,0.197772,2061451
65536,32,32,1,1,0.186569,2112731
65536,64,32,0,0,0.155384,1971451
65536,64,32,0,1,0.14814,2945451
65536,64,32,1,0,0.155384,1889531
65536,64,32,1,1,0.14814,1937991
65536,128,32,0,0,0.158724,1997711
65536,128,32,0,1,0.149864,2973691
65536,128,32,1,0,0.158724,1899831
65536,128,32,1,1,0.149864,1947451
65536,256,32,0,0,0.145122,1928131
65536,256,32,0,1,0.130961,2909351
65536,256,32,1,0,0.145122,1835271
65536,256,32,1,1,0.130961,1859671
131072,1,1,0,0,0.262275,2282371
131072,1,1,0,1,0.227616,3220771
131072,1,1,1,0,0.262275,2232431
131072,1,1,1,1,0.227616,2271871
131072,2,1,0,0,0.262275,2282371
131072,2,1,0,1,0.227616,3220771
131072,2,1,1,0,0.262275,2232431
131072,2,1,1,1,0.227616,2271871
131072,4,1,0,0,0.262275,2282371
131072,4,1,0,1,0.227616,3220771
131072,4,1,1,0,0.262275,2232431
131072,4,1,1,1,0.227616,2271871
131072,8,1,0,0,0.262275,2282371
131072,8,1,0,1,0.227616,3220771
131072,8,1,1,0,0.262275,2232431
131072,8,1,1,1,0.227616,2271871
131072,16,1,0,0,0.211357,2144311
131072,16,1,0,1,0.192725,3081811
131072,16,1,1,0,0.211357,2082051
131072,16,1,1,1,0.192725,2119491
131072,32,1,0,0,0.202892,2155391
131072,32,1,0,1,0.186457,3104851
131072,32,1,1,0,0.202892,2074751
131072,32,1,1,1,0.186457,2105571
131072,64,1,0,0,0.155784,1970551
131072,64,1,0,1,0.139112,2919531
131072,64,1,1,0,0.155784,1879651
131072,64,1,1,1,0.139112,1892171
131072,128,1,0,0,0.132444,1877731
131072,128,1,0,1,0.119066,2842071
131072,128,1,1,0,0.132444,1782711
131072,128,1,1,1,0.119066,1802811
131072,256,1,0,0,0.120265,1807911
131072,256,1,0,1,0.105004,2784431
131072,256,1,1,0,0.120265,1727051
131072,256,1,1,1,0.105004,1738551
131072,1,2,0,0,0.243101,2195911
131072,1,2,0,1,0.210738,3151331
131072,1,2,1,0,0.243101,2164251
131072,1,2,1,1,0.210738,2192071
131072,2,2,0,0,0.243101,2195911
131072,2,2,0,1,0.210738,3151331
131072,2,2,1,0,0.243101,2164251
131072,2,2,1,1,0.210738,2192071
131072,4,2,0,0,0.243101,2195911
131072,4,2,0,1,0.210738,3151331
131072,4,2,1,0,0.243101,2164251
131072,4,2,1,1,0.210738,2192071
131072,8,2,0,0,0.243101,2195911
131072,8,2,0,1,0.210738,3151331
131072,8,2,1,0,0.243101,2164251
131072,8,2,1,1,0.210738,2192071
131072,16,2,0,0,0.193478,2063151
131072,16,2,0,1,0.17896,3016711
131072,16,2,1,0,0.193478,2018251
131072,16,2,1,1,0.17896,2053051
131072,32,2,0,0,0.187708,2088591
131072,32,2,0,1,0.176793,3058411
131072,32,2,1,0,0.187708,2026871
131072,32,2,1,1,0.176793,2061451
131072,64,2,0,0,0.142465,1918151
131072,64,2,0,1,0.13253,2889651
131072,64,2,1,0,0.142465,1842031
131072,64,2,1,1,0.13253,1863151
131072,128,2,0,0,0.120704,1834631
131072,128,2,0,1,0.1134,2815491
131072,128,2,1,0,0.120704,1751131
131072,128,2,1,1,0.1134,1776911
131072,256,2,0,0,0.110236,1774251
131072,256,2,0,1,0.100382,2764971
131072,256,2,1,0,0.110236,1703951
131072,256,2,1,1,0.100382,1717171
131072,1,4,0,0,0.24053,2183131
131072,1,4,0,1,0.206357,3137551
131072,1,4,1,0,0.24053,2155631
131072,1,4,1,1,0.206357,2170891
131072,2,4,0,0,0.24053,2183131
131072,2,4,0,1,0.206357,3137551
131072,2,4,1,0,0.24053,2155631
131072,2,4,1,1,0.206357,2170891
131072,4,4,0,0,0.24053,2183131
131072,4,4,0,1,0.206357,3137551
131072,4,4,1,0,0.24053,2155631
131072,4,4,1,1,0.206357,2170891
131072,8,4,0,0,0.24053,2183131
131072,8,4,0,1,0.206357,3137551
131072,8,4,1,0,0.24053,2155631
131072,8,4,1,1,0.206357,2170891
131072,16,4,0,0,0.190086,2051231
131072,16,4,0,1,0.176041,3006651
131072,16,4,1,0,0.190086,2009551
131072,16,4,1,1,0.176041,2038751
131072,32,4,0,0,0.184334,2074431
131072,32,4,0,1,0.174691,3048231
131072,32,4,1,0,0.184334,2015351
131072,32,4,1,1,0.174691,2051531
131072,64,4,0,0,0.138553,1904331
131072,64,4,0,1,0.13069,2881191
131072,64,4,1,0,0.138553,1829791
131072,64,4,1,1,0.13069,1854611
131072,128,4,0,0,0.115966,1817091
131072,128,4,0,1,0.111336,2800431
131072,128,4,1,0,0.115966,1737071
131072,128,4,1,1,0.111336,1767311
131072,256,4,0,0,0.107192,1765511
131072,256,4,0,1,0.0995267,2760411
131072,256,4,1,0,0.107192,1698071
131072,256,4,1,1,0.0995267,1713191
131072,1,8,0,0,0.240642,2182891
131072,1,8,0,1,0.206241,3136831
131072,1,8,1,0,0.240642,2155791
131072,1,8,1,1,0.206241,2170731
131072,2,8,0,0,0.240642,2182891
131072,2,8,0,1,0.206241,3136831
131072,2,8,1,0,0.240642,2155791
131072,2,8,1,1,0.206241,2170731
131072,4,8,0,0,0.240642,2182891
131072,4,8,0,1,0.206241,3136831
131072,4,8,1,0,0.240642,2155791
131072,4,8,1,1,0.206241,2170731
131072,8,8,0,0,0.240642,2182891
131072,8,8,0,1,0.206241,3136831
131072,8,8,1,0,0.240642,2155791
131072,8,8,1,1,0.206241,2170731
131072,16,8,0,0,0.188056,2041591
131072,16,8,0,1,0.175288,3009251
131072,16,8,1,0,0.188056,2002631
131072,16,8,1,1,0.175288,2038471
131072,32,8,0,0,0.181905,2065991
131072,32,8,0,1,0.171471,3041751
131072,32,8,1,0,0.181905,2006011
131072,32,8,1,1,0.171471,2038771
131072,64,8,0,0,0.133467,1885831
131072,64,8,0,1,0.12536,2867871
131072,64,8,1,0,0.133467,1812071
131072,64,8,1,1,0.12536,1830251
131072,128,8,0,0,0.112376,1802811
131072,128,8,0,1,0.10886,2786011
131072,128,8,1,0,0.112376,1724091
131072,128,8,1,1,0.10886,1755791
131072,256,8,0,0,0.105816,1759511
131072,256,8,0,1,0.0988689,2756651
131072,256,8,1,0,0.105816,1693851
131072,256,8,1,1,0.0988689,1710171
131072,1,16,0,0,0.24081,2184191
131072,1,16,0,1,0.206478,3138671
131072,1,16,1,0,0.24081,2156731
131072,1,16,1,1,0.206478,2172431
131072,2,16,0,0,0.24081,2184191
131072,2,16,0,1,0.206478,3138671
131072,2,16,1,0,0.24081,2156731
131072,2,16,1,1,0.206478,2172431
131072,4,16,0,0,0.24081,2184191
131072,4,16,0,1,0.206478,3138671
131072,4,16,1,0,0.24081,2156731
131072,4,16,1,1,0.206478,2172431
131072,8,16,0,0,0.24081,2184191
131072,8,16,0,1,0.206478,3138671
131072,8,16,1,0,0.24081,2156731
131072,8,16,1,1,0.206478,2172431
131072,16,16,0,0,0.186995,2037491
131072,16,16,0,1,0.173573,3001151
131072,16,16,1,0,0.186995,1999751
131072,16,16,1,1,0.173573,2029591
131072,32,16,0,0,0.181702,2065651
131072,32,16,0,1,0.170792,3040071
131072,32,16,1,0,0.181702,2005311
131072,32,16,1,1,0.170792,2035831
131072,64,16,0,0,0.132969,1884011
131072,64,16,0,1,0.124839,2867331
131072,64,16,1,0,0.132969,1810271
131072,64,16,1,1,0.124839,1827791
131072,128,16,0,0,0.110751,1795431
131072,128,16,0,1,0.10794,2780931
131072,128,16,1,0,0.110751,1717931
131072,128,16,1,1,0.10794,1751591
131072,256,16,0,0,0.104681,1752151
131072,256,16,0,1,0.0979145,2750531
131072,256,16,1,0,0.104681,1688671
131072,256,16,1,1,0.0979145,1705751
131072,1,32,0,0,0.240969,2185191
131072,1,32,0,1,0.206516,3139171
131072,1,32,1,0,0.240969,2157631
131072,1,32,1,1,0.206516,2172671
131072,2,32,0,0,0.240969,2185191
131072,2,32,0,1,0.206516,3139171
131072,2,32,1,0,0.240969,2157631
131072,2,32,1,1,0.206516,2172671
131072,4,32,0,0,0.240969,2185191
131072,4,32,0,1,0.206516,3139171
131072,4,32,1,0,0.240969,2157631
131072,4,32,1,1,0.206516,2172671
131072,8,32,0,0,0.240969,2185191
131072,8,32,0,1,0.206516,3139171
131072,8,32,1,0,0.240969,2157631
131072,8,32,1,1,0.206516,2172671
131072,16,32,0,0,0.186762,2036271
131072,16,32,0,1,0.172838,2997691
131072,16,32,1,0,0.186762,1998871
131072,16,32,1,1,0.172838,2025831
131072,32,32,0,0,0.181986,2067311
131072,32,32,0,1,0.171019,3040811
131072,32,32,1,0,0.181986,2006331
131072,32,32,1,1,0.171019,2037031
131072,64,32,0,0,0.132939,1884091
131072,64,32,0,1,0.124912,2868111
131072,64,32,1,0,0.132939,1810291
131072,64,32,1,1,0.124912,1828171
131072,128,32,0,0,0.110584,1794391
131072,128,32,0,1,0.107686,2778371
131072,128,32,1,0,0.110584,1716711
131072,128,32,1,1,0.107686,1750391
131072,256,32,0,0,0.103482,1747211
131072,256,32,0,1,0.0969903,2745411
131072,256,32,1,0,0.103482,1684131
131072,256,32,1,1,0.0969903,1701431
262144,1,1,0,0,0.211611,2053551
262144,1,1,0,1,0.178401,3004851
262144,1,1,1,0,0.211611,2011911
262144,1,1,1,1,0.178401,2041351
262144,2,1,0,0,0.211611,2053551
262144,2,1,0,1,0.178401,3004851
262144,2,1,1,0,0.211611,2011911
262144,2,1,1,1,0.178401,2041351
262144,4,1,0,0,0.211611,2053551
262144,4,1,0,1,0.178401,3004851
262144,4,1,1,0,0.211611,2011911
